11000000000000000000100000000000	256	ADD R1, R0, R0
11100000000000100000000000000010	260	ADDI R2, R0, #2
01001000001000100000000000000111	264	BEQ R1, R2, #28
01100000000000011000000010000000	268	SLL R16, R1, #2
01011110000000110000000100101100	272	LW R3, 300(R16)
01011110000001000000000101000000	276	LW R4, 320(R16)
11000000011001000010100000000000	280	ADD R5, R3, R4
01011010000001010000000101010100	284	SW R5, 340(R16)
11100000001000010000000000000001	288	ADDI R1, R1, #1
01000000000000000000000001000010	292	J #264
01010100000000000000000000001101	296	BREAK
11111111111111111111111111111111	300	-1
11111111111111111111111111111110	304	-2
11111111111111111111111111111101	308	-3
00000000000000000000000000000001	312	1
00000000000000000000000000000010	316	2
00000000000000000000000000000100	320	4
11111111111111111111111111111100	324	-4
00000000000000000000000000001010	328	10
00000000000000000000000000000111	332	7
00000000000000000000000000001001	336	9
00000000000000000000000000000001	340	1
00000000000000000000000000000000	344	0
11111111111111111111111111111111	348	-1
00000000000000000000000000000001	352	1
11111111111111111111111111111111	356	-1
00000000000000000000000000000000	360	0
